symbol	globalScore	otGeneticsPortal	eva	geneBurden	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TOP2B	0.571001636059949	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9206302049078624	No data	No data	No data	No data	No data	No data	0.3724825697083801	No data	No data	1	0	0	1	1	1	0.7632249999999999	No data	-0.8282975619920817	-0.7088577420492345	0	No data	No data	-0.16359250000000003	-1	-1
AXL	0.5685155317475683	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897482465553158	No data	No data	No data	No data	No data	No data	0.9083326804342209	No data	No data	1	1	0	1	1	0	0.3735999999999997	No data	-0.5769952073348614	No data	0	No data	No data	0	-1	-1
FANCC	0.5608405081481284	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.7944842304131225	No data	No data	No data	0.3601212141489325	No data	No data	No data	0	0	0	0	0	0	No data	0.16503438216295052	0	0	No data	No data	No data	0.5	0
SBDS	0.55178965776176	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	0.2859177572171143	No data	No data	No data	No data	0.15863413282942304	No data	No data	No data	0	0	0	0	0	0.8600000000000001	No data	0.37445301104396744	-0.7241994246687139	-1	No data	No data	No data	-1	-1
PRKD1	0.550449036069728	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.8227203195717089	No data	No data	No data	No data	No data	No data	0.03647584785669727	No data	0.28256623472988146	1	1	0	1	1	0	0.6655700000000003	0	-0.3525734528026673	-0.7780524624591625	0	No data	No data	-0.20504500000000014	-1	0
PRKCB	0.5486230560083364	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.8227203195717089	No data	No data	No data	No data	No data	No data	0.1679219644596006	No data	No data	1	0	0	1	1	0	0.9405650000000001	0	-0.9889560325067722	-0.19643079818522036	0	No data	No data	-0.4985150000000001	0.5	0
FANCI	0.5404992246493391	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2659697239550842	0.7944842304131225	No data	No data	No data	0.024317231904464845	No data	No data	No data	0	0	0	0	0	0.021085000000000065	No data	0.14315482392165024	-0.6855552218914764	0	No data	No data	No data	0.5	0
JAK3	0.5383510823121498	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	0.643347591420098	0.607930797611621	No data	No data	No data	0.8411828868301956	No data	No data	No data	0.21268734785514634	No data	0.45542702767776283	1	1	0	1	1	1	0.09252499999999983	1	-0.4636382579704105	-0.8710814870290425	0	No data	-1	0	0.5	0
PRKCG	0.5378545560961542	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8227203195717089	No data	No data	0.4633084534106921	No data	No data	No data	0.18432124044252343	No data	No data	1	1	0	1	1	0	0.9354399999999998	No data	-0.8840383413211086	-0.3149027894336745	0	No data	No data	-0.2395975	1	0.5
BLM	0.5370126675824959	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1429100215124947	No data	0.3446173935027677	No data	0	0	1	1	0	0	0	-0.19483225672015003	-0.8026408841916779	0	No data	-1	0	0.5	0.5
DHFR	0.5355717658380542	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8641354554680868	No data	No data	No data	No data	No data	No data	0.117076159352444	No data	0.2847547856012833	1	0	0	1	1	1	0.4919800000000002	0	-0.032090018753907046	-0.8809592326689647	-1	No data	No data	-0.799465	-1	-1
FANCG	0.5354448738318913	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3089537053499544	No data	No data	No data	1	0	0	0	0	0	No data	0.22254636382579696	0	0	No data	No data	No data	-1	0
FANCA	0.5338724410353863	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1925597405751473	No data	No data	No data	0	0	0	0	0	0	No data	0.5127109814544697	-0.7308960162057939	0	No data	No data	No data	0.5	0
ERCC4	0.5332489777389603	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14641000042479874	No data	No data	No data	1	0	1	1	0	0.29585000000000006	No data	-0.01927484892685971	-0.8273759711036279	0	No data	-1	No data	0.5	-1
